CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
-773.53,Q3 2024,,AGG
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,827.88,AGG
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-166.16,AGG
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-111.82,AGG
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,212.30,AGG
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,-0.00,AGG
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,100.48,AGG
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,-12.40,LEC
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,28.59,LEC
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-15.84,LEC
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,0.35,LEC
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,0.97,LEC
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,LEC
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,1.33,LEC
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,-2.62,FDC
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-14.55,FDC
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,10.99,FDC
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-6.18,FDC
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,20.30,FDC
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,FDC
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,14.13,FDC
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,-22.02,API
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,2.26,API
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,41.87,API
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,22.11,API
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,21.69,API
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,API
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,43.81,API
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,-1.88,D11
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,1.19,D11
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,0.00,D11
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-0.69,D11
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,26.04,D11
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,D11
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,25.35,D11
